Element id: div_1471019362168, X: 311, Y: 215 [object MouseEvent] 1471019616213
Element id: div_1471019362168, X: 311, Y: 215 [object DragEvent] 1471019616350
Element id: div_1471019342373, X: 267, Y: 306 [object MouseEvent] 1471019618951
Element id: div_1471019342373, X: 267, Y: 306 [object DragEvent] 1471019619086
Element id: div_1471019357450, X: 314, Y: 342 [object MouseEvent] 1471019621283
Element id: div_1471019357450, X: 314, Y: 342 [object DragEvent] 1471019621436
Element id: div_1471019623168, X: 279, Y: 376 [object MouseEvent] 1471019624086
Element id: div_1471019623168, X: 279, Y: 376 [object DragEvent] 1471019624241
Element id: proceedbutton, X: 588, Y: 394 [object MouseEvent] 1471019626176
Result: Lattice positions incorrect, PUID: Hlat, 1471019628753
Element id: 3-6latb3, X: 985, Y: 362 [object MouseEvent] 1471019630815
Element id: 3-6latb2, X: 1016, Y: 290 [object MouseEvent] 1471019635005
Element id: 5latb, X: 175, Y: 728 [object MouseEvent] 1471019665837
Element id: 5latb2, X: 1024, Y: 310 [object MouseEvent] 1471019729750
Element id: 3-6latb, X: 204, Y: 607 [object MouseEvent] 1471019736548
Element id: drag1, X: 578, Y: 58 [object MouseEvent] 1471019743728
Element id: drag1, X: 578, Y: 58 [object DragEvent] 1471019743913
Element id: drag1, X: 528, Y: 417 [object DragEvent] 1471019746672
Element id: div_1471019746648, X: 232, Y: 253 [object MouseEvent] 1471019748743
Element id: div_1471019746648, X: 232, Y: 253 [object DragEvent] 1471019749168
Element id: drag1, X: 578, Y: 50 [object MouseEvent] 1471019760615
Element id: drag1, X: 578, Y: 50 [object DragEvent] 1471019760912
Element id: drag1, X: 474, Y: 356 [object DragEvent] 1471019763660
Element id: div_1471019763631, X: 172, Y: 192 [object MouseEvent] 1471019765429
Element id: div_1471019763631, X: 172, Y: 192 [object DragEvent] 1471019765738
Element id: drag1, X: 580, Y: 58 [object MouseEvent] 1471019769329
Element id: drag1, X: 580, Y: 58 [object DragEvent] 1471019769459
Element id: drag1, X: 739, Y: 217 [object DragEvent] 1471019775813
Element id: div_1471019775803, X: 433, Y: 50 [object MouseEvent] 1471019777927
Element id: div_1471019775803, X: 433, Y: 50 [object DragEvent] 1471019778098
Element id: div_1471019750057, X: 233, Y: 244 [object MouseEvent] 1471019781506
Element id: div_1471019750057, X: 233, Y: 244 [object DragEvent] 1471019781772
Element id: drag1, X: 577, Y: 55 [object MouseEvent] 1471019785429
Element id: drag1, X: 577, Y: 55 [object DragEvent] 1471019785631
Element id: drag1, X: 475, Y: 523 [object DragEvent] 1471019788985
Element id: div_1471019788978, X: 169, Y: 354 [object MouseEvent] 1471019790423
Element id: div_1471019788978, X: 169, Y: 354 [object DragEvent] 1471019790762
Element id: drag1, X: 581, Y: 46 [object MouseEvent] 1471019797323
Element id: drag1, X: 581, Y: 46 [object DragEvent] 1471019797878
Element id: drag1, X: 524, Y: 508 [object DragEvent] 1471019800442
Element id: drag1, X: 573, Y: 53 [object MouseEvent] 1471019802435
Element id: drag1, X: 573, Y: 53 [object DragEvent] 1471019802659
Element id: drag1, X: 523, Y: 388 [object DragEvent] 1471019804105
Element id: drag1, X: 575, Y: 56 [object MouseEvent] 1471019815897
Element id: drag1, X: 575, Y: 56 [object DragEvent] 1471019816041
Element id: drag1, X: 392, Y: 351 [object DragEvent] 1471019817686
Element id: proceedbutton, X: 615, Y: 396 [object MouseEvent] 1471019819659
Result: wrong number chosen, PUID: Hlat, 1471019820837
Result: Lattice positions incorrect, PUID: Hlat, 1471019821822
Element id: div_1471019817660, X: 85, Y: 183 [object MouseEvent] 1471019823848
Element id: div_1471019817660, X: 85, Y: 183 [object DragEvent] 1471019824115
Element id: drag1, X: 582, Y: 51 [object MouseEvent] 1471019826393
Element id: drag1, X: 582, Y: 51 [object DragEvent] 1471019826490
Element id: drag1, X: 433, Y: 326 [object DragEvent] 1471019827965
Element id: div_1471019827957, X: 129, Y: 158 [object MouseEvent] 1471019829031
Element id: div_1471019827957, X: 129, Y: 158 [object DragEvent] 1471019829194
Element id: drag1, X: 580, Y: 52 [object MouseEvent] 1471019832712
Element id: drag1, X: 580, Y: 52 [object DragEvent] 1471019832825
Element id: drag1, X: 382, Y: 532 [object DragEvent] 1471019833928
